time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1991-01-24 15:13:20.390000+00:00,41.112,28.752,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004m3p,2014-11-07T00:47:52.360Z,"4 km WNW of Ba?ak?ehir, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.112, 28.752)","Hikmet Sokağı, Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye",İstanbul,Başakşehir,Very Minor,1991,Shallow,1
1991-01-27 22:37:43.400000+00:00,38.545,27.644,10.0,3.3,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.7,us,usp0004m7v,2014-11-07T00:47:53.273Z,"7 km NW of Turgutlu, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(38.545, 27.644)","İstanbul-İzmir Otoyolu, Turgutlu, Şehzadeler, Manisa, Ege Bölgesi, Türkiye",İstanbul,Şehzadeler,Minor,1991,Shallow,1
1991-02-12 09:54:58.390000+00:00,40.816,28.878,10.0,4.8,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.3,us,usp0004muy,2020-08-29T00:30:54.679Z,"18 km SW of K?nal?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,43.0,reviewed,us,us, Turkey,"(40.816, 28.878)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Light,1991,Shallow,1
1991-02-15 11:46:37.260000+00:00,40.968,28.626,10.0,2.8,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004myz,2014-11-07T00:48:00.180Z,"1 km SW of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.968, 28.626)","Sinem Sokağı, Deniztepe Evleri, Dereağzı Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34528, Türkiye",İstanbul,Beylikdüzü,Very Minor,1991,Shallow,1
1991-02-20 16:43:15.010000+00:00,40.851,28.709,5.0,2.9,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004n6e,2014-11-07T00:48:03.174Z,"15 km S of Yakuplu, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.851, 28.709)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Minor,1991,Shallow,1
1991-02-20 17:34:16.330000+00:00,40.884,28.737,5.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.0,us,usp0004n6f,2014-11-07T00:48:03.176Z,"12 km SSE of Yakuplu, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.884, 28.737)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1991,Shallow,1
1991-02-22 13:03:51.310000+00:00,41.104,28.691,10.0,2.8,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.2,us,usp0004n97,2014-11-07T00:48:04.442Z,"8 km N of Esenyurt, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.104, 28.691)","Deliklikaya Yolu Sokak, Bahçeşehir 1. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye",İstanbul,Başakşehir,Very Minor,1991,Shallow,1
1991-02-28 15:02:09.730000+00:00,41.139,28.477,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.3,us,usp0004nhd,2014-11-07T00:48:05.805Z,"1 km ESE of Çatalca, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.139, 28.477)","Ferhatpaşa Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, Türkiye",İstanbul,Çat,Very Minor,1991,Shallow,1
1991-04-11 13:40:28.340000+00:00,41.165,28.496,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004q6w,2014-11-07T00:48:20.974Z,"3 km NE of Çatalca, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.165, 28.496)","Kestanelik Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, Türkiye",İstanbul,Çat,Very Minor,1991,Shallow,1
1991-04-13 11:33:06.920000+00:00,41.112,28.468,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004q9k,2014-11-07T00:48:21.521Z,"2 km NW of Muratbey, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.112, 28.468)","Çakıl Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, Türkiye",İstanbul,Çat,Very Minor,1991,Shallow,1
