"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1903 <= Year >= 2023"",""Country = TURKEY"",""Earthquake Magnitude >= 2.5""]"																																						
	1986	10	11	9	0	10.5			"TURKEY:  AYDIN, DENIZLI-IZMIR-MANISA"	37.931	28.574	5	5.5						3	1		1	50	1							3	1		2	50	1		
	1989	3	10	8	0	48.7			"TURKEY:  ERZURUM, KARS"	40.027	41.816	10	4.4									2																
	1990	7	18	11	29	24.9			"TURKEY:  CAMELI, DENIZLI"	36.99	29.595	17	5.1									2			393	3								2			393	3
	1991	4	24	10	54	35.7			"TURKEY:  ERZURUM PROVINCE"	39.597	41.118	33	4.5		1	1			3	1		1				2	1	1			3	1		1				2
	1991	6	16	11	7	10.6			"TURKEY:  KAGIZMAN"	39.984	42.875	26	4.5									2																
	1992	3	13	17	18	39.9			"TURKEY:  ERZINCAN"	39.71	39.605	27	6.9	8	653	3			2000	4	750	4			8057	4	653	3			2000	4	750	4			8057	4
	1995	10	1	15	57	16.2			"TURKEY:   DINAR, EVCILER"	38.063	30.134	33	6.4	8	95	2			348	3	205.8	4	5100	4			95	2			348	3	205.8	4	5100	4		
	1998	6	27	13	55	52			"TURKEY:  ADANA, CEYHAN"	36.878	35.307	33	6.3	8	145	3			1500	4	550	4	1700	4			145	3			1500	4	550	4	1700	4		
	1999	8	17	0	1	39.1	2326		"TURKEY:  ISTANBUL, KOCAELI, SAKARYA"	40.76	29.97	13	7.6	10	17118	4			50000	4	20000	4			73342	4	17118	4			50000	4	20000	4			73342	4
	1999	8	31	8	10	49.5			"TURKEY:  IZMIT"	40.711	29.949	10	5.2		1	1			166	3		1					1	1			166	3		1				
	1999	9	13	11	55	28.1			"TURKEY:  ADAPAZARI-GOLUCK-KOCAELI"	40.709	30.045	13	5.8		7	1			422	3		1					7	1			422	3		1				
	1999	11	11	14	41	25.6			"TURKEY:  ADAPAZARI, KOCEALI, GOLCUK"	40.744	30.266	22	5.7		2	1			171	3							2	1			171	3						
	1999	11	12	16	57	19.5			"TURKEY:  BOLU-DUZCE-KAYNASLI, ADAPAZARI, ZONGULDAK"	40.758	31.161	10	7.2	9	894	3			4948	4	1000	4					894	3			4948	4	1000	4				
	1999	12	3	17	6	54.7			"TURKEY:  GORESKEN, ERZURUM PROVINCE"	40.358	42.346	19	5.7		1	1			6	1		2			340	3	1	1			6	1		2			340	3
	2000	5	7	23	10	54.1			"TURKEY:  DOGANYOL, PUTURGE"	38.164	38.777	5	4.1									2									1	1		2			200	3
	2000	6	6	2	41	49.8			"TURKEY:  CERKES, CUBUK, ORTA"	40.693	32.992	10	6	7	2	1			80	2		3					2	1			80	2		3			4600	4
	2000	12	15	16	44	47.6			"TURKEY:  AFYON-BOLVADIN"	38.457	31.351	10	6	7	6	1			41	1		1					6	1			41	1		1				2
	2001	6	25	13	28	46.5			"TURKEY:  OSMANIYE"	37.238	36.206	5	5.5						130	3		1									130	3		1			66	2
	2002	2	3	7	11	28.4			"TURKEY:  AFYON"	38.573	31.271	5	6.5		44	1			318	3		2					44	1			318	3		2			622	3
	2003	1	27	5	26	23			"TURKEY:  SAGLAMTAS, PULUMUR"	39.5	39.878	10	6.1		1	1				2		1					1	1				2		1				2
	2003	4	10	0	40	15.1			"TURKEY:  IZMIR, SEFERIHISAR"	38.221	26.958	10	5.7						90	2		2		2		2					90	2		2		2		2
	2003	5	1	0	27	4.7			"TURKEY:  BINGOL"	39.007	40.464	10	6.4		177	3			521	3		3	718	3	718	3	177	3			521	3		3	718	3	2593	4
	2003	7	26	1	0	57.6			"TURKEY:  WESTERN:  BULDAN"	38.111	28.887	10	4.5							2		1										2		1			48	1
