,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
31,1942.0,11.0,15.0,17.0,1.0,0.0,,,"TURKEY:  BALIKESIR,BIGADIC",39.2,28.2,,6.1,8.0,16.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.2, 28.2)","Yaylacık, Sındırgı, Balıkesir, Marmara Bölgesi, 10330, Türkiye"
32,1942.0,12.0,20.0,14.0,3.0,9.1,,,"TURKEY:  NIKSAR, ERBAA",40.907,36.744,10.0,7.0,10.0,1000.0,3.0,,,,,,4.0,,,,,1000.0,3.0,,,,,,4.0,,,,,"(40.907, 36.744)","Akkuş, Ordu, Karadeniz Bölgesi, Türkiye"
33,1943.0,6.0,20.0,15.0,32.0,53.4,,,"TURKEY:  HENDEK, ADAPAZARI",40.5,30.525,15.0,6.4,10.0,285.0,3.0,,,,,,3.0,,,,,285.0,3.0,,,,,,3.0,,,,,"(40.5, 30.525)","Emrahlar, Tuzla, Taraklı, Sakarya, Marmara Bölgesi, Türkiye"
34,1943.0,11.0,26.0,22.0,20.0,48.6,,,"TURKEY:  LADIK, SAMSUN, HAVZA",40.867,33.651,20.0,7.5,11.0,4020.0,4.0,,,5000.0,4.0,,4.0,40000.0,4.0,,,4020.0,4.0,,,5000.0,4.0,,4.0,40000.0,4.0,,,"(40.867, 33.651)","Kuşçayırı, Çankırı, İç Anadolu Bölgesi, 18402, Türkiye"
35,1944.0,2.0,1.0,3.0,22.0,40.8,,,TURKEY,40.66,32.998,30.0,7.6,10.0,2381.0,4.0,,,,,,3.0,,,,,2381.0,,,,,,,3.0,,,,,"(40.66, 32.998)","Buğurören, Çankırı, İç Anadolu Bölgesi, Türkiye"
36,1944.0,6.0,25.0,4.0,16.0,0.0,,,TURKEY:  USAK,38.9,29.3,33.0,6.0,8.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,"(38.9, 29.3)","D595, Kısık, Gediz, Kütahya, Ege Bölgesi, Türkiye"
37,1944.0,10.0,6.0,2.0,34.0,47.6,5818.0,,TURKEY:  AYVALIK,39.509,26.587,,6.7,9.0,30.0,1.0,,,,,,4.0,5500.0,4.0,,,30.0,1.0,,,,,,4.0,5500.0,4.0,,,"(39.509, 26.587)","Çanakkale, Marmara Bölgesi, Türkiye"
38,1945.0,3.0,20.0,7.0,58.0,52.3,,,"TURKEY:  AELANA, CEYHAN, ADANA",37.244,35.859,15.0,6.1,7.0,300.0,3.0,,,,,,,,,,,300.0,3.0,,,,,,,,,,,"(37.244, 35.859)","Ceyhan, Adana, Akdeniz Bölgesi, Türkiye"
39,1946.0,2.0,21.0,15.0,43.0,0.0,,,"TURKEY:  IIGIN, KONYA",38.2,31.8,60.0,5.6,8.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,,,,"(38.2, 31.8)","Harmanyazı, Konya, İç Anadolu Bölgesi, Türkiye"
40,1946.0,5.0,31.0,3.0,12.0,46.1,,,TURKEY:  USTUKRAN,39.23,41.374,15.0,5.9,8.0,840.0,3.0,,,,,,2.0,,,,,840.0,3.0,,,,,,2.0,,,,,"(39.23, 41.374)","Karlıova - Varto Yolu, Varto, Muş, Doğu Anadolu Bölgesi, Türkiye"
41,1949.0,8.0,17.0,18.0,44.0,18.0,,,TURKEY: KARLIOVA,39.503,40.671,15.0,6.8,10.0,320.0,3.0,,,355.0,3.0,,3.0,,,,,320.0,3.0,,,355.0,3.0,,3.0,,,,,"(39.503, 40.671)","Saltaş, Çat, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
42,1951.0,8.0,13.0,18.0,33.0,0.0,,,TURKEY:  KURSUNLU,40.8,33.4,,6.7,9.0,50.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(40.8, 33.4)","Göllüce, Çankırı, İç Anadolu Bölgesi, Türkiye"
43,1952.0,1.0,3.0,6.0,3.0,55.1,,,"TURKEY:  PASINLER (HASANKALE), ERZURUM",40.029,41.544,20.0,5.7,8.0,103.0,3.0,,,250.0,3.0,,2.0,,,,,103.0,3.0,,,250.0,3.0,,2.0,,,,,"(40.029, 41.544)","Baldızı, Pasinler, Erzurum, Doğu Anadolu Bölgesi, Türkiye"
44,1952.0,10.0,22.0,17.0,,0.0,,,"TURKEY:  CEYHAN,MISIS",36.5,35.5,,5.0,7.0,20.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(36.5, 35.5)","Adana, Akdeniz Bölgesi, Türkiye"
45,1953.0,3.0,18.0,19.0,6.0,17.7,,,"TURKEY:  YENICE, ONON",40.175,27.648,10.0,7.3,,1070.0,4.0,,,,,3.57,2.0,,,,,1070.0,4.0,,,,,3.57,2.0,,,,,"(40.175, 27.648)","Gündoğan, Gönen, Balıkesir, Marmara Bölgesi, Türkiye"
46,1955.0,7.0,16.0,7.0,7.0,0.0,,,"TURKEY:  SOKE, AYDIN",37.5,27.0,,6.8,9.0,4.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(37.5, 27.0)","Περιφερειακή Ενότητα Καλύμνου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, Ελλάς"
47,1956.0,2.0,20.0,20.0,31.0,0.0,,,TURKEY:  ESKISEHIR,40.0,30.5,,5.8,8.0,4.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,"(40.0, 30.5)","Alpagut, Eskişehir, İç Anadolu Bölgesi, Türkiye"
48,1957.0,4.0,24.0,19.0,10.0,12.0,,,TURKEY,36.31,28.62,40.0,6.9,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,"(36.31, 28.62)",
49,1957.0,4.0,25.0,2.0,25.0,41.2,,,"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",36.405,28.699,35.0,7.3,10.0,18.0,1.0,,,92.0,1.0,,4.0,3000.0,4.0,5000.0,4.0,18.0,1.0,,,92.0,1.0,,4.0,3000.0,4.0,5000.0,4.0,"(36.405, 28.699)",Türkiye
50,1957.0,5.0,26.0,6.0,33.0,38.0,,,TURKEY:  ABANT,40.73,31.09,25.0,7.1,9.0,52.0,2.0,,,,3.0,,3.0,,,,4.0,52.0,2.0,,,,3.0,,3.0,,,,4.0,"(40.73, 31.09)","Yılankaya, Düzce Merkez, Düzce, Karadeniz Bölgesi, Türkiye"
